imdb_id,title,genres,tagline,overview
tt0113101,Four Rooms,"['Crime', 'Comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
tt0112281,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",New animals. New adventures. Same hair.,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
tt0113845,Money Train,"['Action', 'Comedy', 'Crime']","Get on, or GET OUT THE WAY!","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
tt0113161,Get Shorty,"['Comedy', 'Thriller', 'Crime']","The mob is tough, but itâs nothing like show business.","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
tt0112722,Copycat,"['Drama', 'Thriller']","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
tt0112401,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']","In the shadows of life, In the business of death, One man found a reason to live...","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
tt0114168,Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",An extraordinary encounter with another human being.,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
tt0113627,Leaving Las Vegas,"['Drama', 'Romance']",I Love You... The Way You Are.,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
tt0114057,Othello,['Drama'],"Envy, greed, jealousy and love.",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
tt0114011,Now and Then,"['Comedy', 'Drama', 'Family']",In every woman there is the girl she left behind.,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
tt0112682,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",Where happily ever after is just a dream.,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
tt0115012,Shanghai Triad,"['Drama', 'Crime']",In 1930's Shanghai violence was not the problem. It was the solution.,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
tt0112792,Dangerous Minds,"['Drama', 'Crime']",She broke the rules... and changed their lives.,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
tt0114746,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
tt0112431,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",A little pig goes a long way.,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be."
tt0112637,Carrington,"['History', 'Drama', 'Romance']",A Love so Unusual it has to be True,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector."
tt0113442,It Takes Two,"['Comedy', 'Family', 'Romance']",Two identical strangers. Two different worlds. One perfect match.,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
tt0112697,Clueless,"['Comedy', 'Drama', 'Romance']",Sex. Clothes. Popularity. Is there a problem here?,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
tt0114279,Richard III,"['Drama', 'War']","I can smile, and murder while I smile",Shakespeare's Play transplanted into a 1930s setting.
tt0112819,Dead Presidents,"['Action', 'Crime', 'Drama', 'History']","In this daring heist, the only color that counts is green","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s."
tt0113855,Mortal Kombat,"['Action', 'Fantasy']",Nothing In This World Has Prepared You For This.,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
tt0114681,To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",All she wanted was a little attention.,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role."
tt0113347,How To Make An American Quilt,"['Drama', 'Romance']",There's beauty in the patterns of life.,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancÃ© is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
tt0114369,Se7en,"['Crime', 'Mystery', 'Thriller']",Seven deadly sins. Seven ways to die.,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
tt0114148,Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",An American legend comes to life.,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith."
tt0114814,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",Five Criminals. One Line Up. No Coincidence.,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
tt0109950,Guardian Angel,"['Action', 'Thriller', 'Drama']",She's no angel of mercy.,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action."
tt0112499,The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",The biggest kick of the year!,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
tt0113158,Georgia,['Drama'],The toughest act to follow was their dreams.,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing."
tt0113321,Home for the Holidays,"['Comedy', 'Drama', 'Romance']",We'll do it every year..until we get it right,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics."
tt0116260,Eye for an Eye,"['Drama', 'Thriller']",What do you do when justice fails?,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
tt0113862,Mr. Holland's Opus,"['Music', 'Drama', 'Family']","Of All the Lives He Changed, the One That Changed the Most Was His Own.","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
tt0118002,Two If by Sea,"['Comedy', 'Romance']","A new comedy about love, laughter, and larceny","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
tt0115683,Bio-Dome,['Comedy'],Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."
tt0116839,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']","God made him simple. Science made him a god. Now, he wants revenge.","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
tt0114753,Two Bits,"['Drama', 'Family']",You're never too old to believe in a dream. Or too young to make one come true!,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary."
tt0113118,Friday,['Comedy'],A lot can go down between thursday and saturday...,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
tt0116367,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
tt0113010,Fair Game,"['Action', 'Thriller', 'Romance']",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
tt0113537,Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",Anxiety loves company.,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
tt0113828,Les Miserables,"['Drama', 'History']","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les MisÃ©rables and begins to see parallels between the book and his own life."
tt0115644,Bed of Roses,"['Drama', 'Romance']",He gave her flowers. She gave him a chance.,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
tt0115676,Big Bully,"['Comedy', 'Family']",A comedy for the kid in all of us.,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
tt0114367,Screamers,"['Horror', 'Science Fiction']",The last scream you hear will be your own.,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
tt0112744,The Crossing Guard,"['Drama', 'Thriller']","...some lives cross, others collide.","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other."
tt0116731,The Juror,"['Drama', 'Thriller']",There is no defense.,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
tt0114660,Things to Do in Denver When You're Dead,"['Drama', 'Crime']",Protect. Love. Honor. Avenge.,A mafia film in Tarantino style with a star-studded cast. Jimmyâs âThe Saintâ gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as âThe Man with the Plan.â
tt0112379,Antonia's Line,"['Drama', 'Comedy']",A motion picture that celebrates everything you love about life.,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
tt0112365,Angels and Insects,"['Drama', 'Romance']",An elegant seduction. An erotic deception. A stunning revelation.,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
tt0116151,Dunston Checks In,"['Adventure', 'Comedy', 'Family']",He's about to turn a Five Star Hotel into a three ring circus.,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!"
tt0115697,Black Sheep,['Comedy'],There's one in every family.,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election."
tt0117002,Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",The untold story of Jekyll and Hyde,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
tt0114825,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",A comic tale of horror and seduction.,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell."
tt0115639,Beautiful Girls,"['Comedy', 'Drama', 'Romance']","Good times never seemed so good,","During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires."
tt0115759,Broken Arrow,"['Action', 'Adventure', 'Drama', 'Thriller']",Prepare to Go Ballistic.,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box."
tt0113403,A Midwinter's Tale,['Comedy'],The drama. The passion. The intrigue... And the rehearsals haven't even started.,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope."
tt0113247,La Haine,['Drama'],Three Young Friends... One Last Chance.,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate."
tt0111173,Shopping,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",No one leaves without paying...,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky."
tt0113283,Heidi Fleiss: Hollywood Madam,['Documentary'],   ,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction."
tt0115734,Bottle Rocket,"['Comedy', 'Crime', 'Drama']","They're not really criminals, but everyone's got to have a dream.","Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
tt0118040,Unforgettable,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,"Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer, a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another, but not without consequences. Liotta driven to solve the case injects himself with the serum, bringing him closer and closer to finding her killer but bringing him closer to death."
tt0116483,Happy Gilmore,['Comedy'],He doesn't play golf... he destroys it.,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image."
tt0112579,The Bridges of Madison County,"['Drama', 'Romance']",The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
tt0117110,Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",Set sail for Muppet mayhem!,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
tt0112646,Catwalk,['Documentary'],"The moment when fashion, art and entertainment come together with stunning force and beauty.","A documentary following Christy Turlington and other models during spring fashion week in Milan, Paris and New York."
tt0112573,Braveheart,"['Action', 'Drama', 'History', 'War']",Every man dies. Not every man truly lives.,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
tt0075314,Taxi Driver,"['Crime', 'Drama']","On every street in every city, there's a nobody who dreams of being a somebody.","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
tt0113326,Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']",No Fear. No Stuntman. No Equal.,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head."
tt0115645,Before and After,"['Drama', 'Thriller']",A murder. A suspect. A shadow of a doubt.,Two parents deal with the effects when their son is accused of murdering his girlfriend.
tt0113774,Margaret's Museum,['Drama'],She found a way to preserve her memories forever.,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever."
tt0112373,Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']","She is perhaps Hitler's best known victim, but what was Anne Frank really like?","Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift"
tt0116606,If Lucy Fell,"['Comedy', 'Romance']",A comedy for the romantically challenged.,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge."
tt0114536,Steal Big Steal Little,"['Comedy', 'Drama']",Two brothers. One fortune. Zero chance they'll share it.,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love."
tt0117427,Race the Sun,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",A dream can make all the difference under the sun.,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia."
tt0103859,Boomerang,"['Comedy', 'Romance']",A Player Who's About to be Played.,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill."
